City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,pahrump,36.2083,-115.9839,101.52,20,0,7.0,US,1723938512
160,okhotsk,59.3833,143.3,54.16,76,98,6.93,RU,1723938512
161,solwezi,-12.1688,26.3894,57.04,46,0,3.18,ZM,1723938513
162,arkhangel'sk,64.5401,40.5433,55.51,100,40,2.24,RU,1723938513
163,broome,42.2506,-75.833,70.7,80,100,6.91,US,1723938513
164,carnarvon,-24.8667,113.6333,65.12,60,100,16.04,AU,1723938355
165,georgetown,5.4112,100.3354,80.53,94,40,4.61,MY,1723938310
166,sinazongwe,-17.2614,27.4618,67.73,52,0,5.88,ZM,1723938514
167,smithers,54.7804,-127.1743,80.92,21,20,4.61,CA,1723938515
168,aroma,15.8167,36.1333,80.71,75,99,10.98,SD,1723938516
169,la sarre,48.8002,-79.1996,62.76,98,100,4.34,CA,1723938516
170,iskateley,67.6803,53.1512,44.53,93,8,6.89,RU,1723938516
171,alenquer,-1.9417,-54.7383,82.94,48,6,3.58,BR,1723938517
172,paramonga,-10.6667,-77.8333,62.56,82,11,8.72,PE,1723938517
173,ardesen,41.1911,40.9875,71.91,76,23,5.08,TR,1723938517
174,malango,-2.9627,119.9001,71.1,83,69,2.62,ID,1723938518
175,fale old settlement,-9.3852,-171.2468,82.18,80,33,24.72,TK,1723938518
176,torit,4.4133,32.5678,68.58,99,100,0.72,SS,1723938519
177,leh,34.1667,77.5833,56.14,65,87,4.41,IN,1723938237
178,bac lieu,9.285,105.7244,82.63,79,74,3.51,VN,1723938519
179,kailua-kona,19.6406,-155.9956,84.27,78,40,11.5,US,1723938520
180,nova vicosa,-17.8919,-39.3719,70.02,77,0,7.29,BR,1723938520
181,atafu village,-8.5421,-172.5159,82.62,79,47,24.83,TK,1723938521
182,al bawiti,28.3492,28.8659,79.74,47,0,7.58,EG,1723938521
183,lazaro cardenas,17.9583,-102.2,85.17,70,51,5.75,MX,1723938522
184,vilyuysk,63.7553,121.6247,60.58,53,47,2.1,RU,1723938522
185,alice springs,-23.7,133.8833,65.75,32,1,2.3,AU,1723938449
186,chardara,41.2547,67.9692,69.64,48,9,7.65,KZ,1723938522
187,alo,6.5486,4.2686,75.0,92,82,5.75,NG,1723938523
188,ust-nera,64.5667,143.2,59.49,49,78,3.42,RU,1723938523
189,keflavik,64.0049,-22.5624,45.03,81,75,16.11,IS,1723938523
190,belmonte,-15.8631,-38.8828,70.95,79,0,5.1,BR,1723938524
191,paita,-5.0892,-81.1144,63.45,83,21,16.64,PE,1723938524
192,chibougamau,49.9168,-74.3659,69.42,73,100,4.61,CA,1723938524
193,queenstown,-31.8976,26.8753,49.37,33,42,3.83,ZA,1723938525
194,kapuskasing,49.4169,-82.4331,64.49,100,100,6.91,CA,1723938525
195,klyuchi,52.2667,79.1667,62.28,75,98,6.78,RU,1723938525
196,namsos,64.4662,11.4957,53.51,87,100,9.22,NO,1723938526
197,yemva,62.59,50.8594,56.48,94,100,5.86,RU,1723938526
198,la serena,-29.9078,-71.2542,53.11,100,100,3.44,CL,1723938310
199,kiunga,-6.1219,141.2906,74.07,98,100,3.09,PG,1723938527
200,pandan,14.0453,124.1694,84.83,72,100,2.93,PH,1723938343
201,sarpol-e zahab,34.4611,45.8626,89.24,19,0,6.73,IR,1723938528
202,remire-montjoly,4.9167,-52.2667,80.64,83,0,3.44,GF,1723938528
203,antofagasta,-23.65,-70.4,58.28,88,14,3.53,CL,1723938347
204,aioun,16.6614,-9.6149,79.59,80,100,18.25,MR,1723938529
205,novodvinsk,64.4165,40.8122,55.15,97,100,4.83,RU,1723938529
206,volgograd,48.7194,44.5018,57.97,58,0,4.47,RU,1723938490
207,kone,-21.0595,164.8658,85.93,43,0,2.66,NC,1723938531
208,santa catarina juquila,16.2333,-97.3,66.49,95,59,2.73,MX,1723938531
209,happy valley-goose bay,53.3168,-60.3315,66.51,88,75,9.22,CA,1723938531
210,nouadhibou,20.931,-17.0347,71.58,83,95,14.97,MR,1723938532
211,thunder bay,48.4001,-89.3168,76.98,53,0,11.5,CA,1723938532
212,touros,-5.1989,-35.4608,75.92,73,4,16.42,BR,1723938533
213,poronaysk,49.2167,143.1167,58.78,81,100,6.55,RU,1723938533
214,coxim,-18.5067,-54.76,84.78,17,0,0.89,BR,1723938325
215,saphane,39.0273,29.2222,57.33,45,0,7.94,TR,1723938534
216,baoying,33.2292,119.3092,81.01,86,77,5.64,CN,1723938534
217,ta`u,-14.2336,-169.5144,78.89,80,68,24.29,AS,1723938535
218,klaksvik,62.2266,-6.589,50.29,85,93,28.23,FO,1723938535
219,dadukou,26.5479,101.7054,70.23,94,100,0.54,CN,1723938535
220,severo-yeniseyskiy,60.3725,93.0408,54.82,91,40,4.29,RU,1723938536
221,maun,-19.9833,23.4167,66.16,30,0,8.05,BW,1723938536
222,ratnagiri,16.9833,73.3,80.31,89,100,6.11,IN,1723938536
223,bela,25.9333,81.9833,86.74,72,100,6.06,IN,1723938536
224,ketchikan,55.3422,-131.6461,73.78,53,0,10.36,US,1723938537
225,bardai,11.65,7.2333,69.44,95,43,6.08,NG,1723938537
226,rumoi,43.9344,141.6428,69.91,85,100,3.6,JP,1723938538
227,salalah,17.0151,54.0924,77.09,100,100,5.75,OM,1723938538
228,kuanda,56.3161,116.0806,67.23,58,1,0.69,RU,1723938538
229,carolina beach,34.0352,-77.8936,82.45,65,15,10.74,US,1723938540
230,cumana,10.4635,-64.1775,82.29,77,53,5.44,VE,1723938540
231,san patricio,28.017,-97.5169,93.15,55,69,14.63,US,1723938540
232,andergrove,-21.0833,149.1833,71.94,57,35,7.45,AU,1723938541
233,karimganj,24.8667,92.35,74.79,98,100,3.24,IN,1723938541
234,parvatipuram,18.7833,83.4333,75.15,92,87,2.26,IN,1723938541
235,papar,5.7333,115.9333,78.8,81,84,3.09,MY,1723938542
236,emerald,-23.5333,148.1667,67.33,41,6,6.64,AU,1723938542
237,sinabang,2.4803,96.3801,77.27,89,100,3.6,ID,1723938542
238,sarangani,5.4033,125.4636,82.85,70,91,5.46,PH,1723938543
239,port augusta,-32.5,137.7667,57.33,60,50,2.15,AU,1723938543
240,villanueva,15.3167,-88.0,86.99,70,20,14.97,HN,1723938543
241,figuig (centre),32.1089,-1.2286,88.0,20,0,3.04,MA,1723938543
242,kununurra,-15.7667,128.7333,71.58,78,39,0.0,AU,1723938544
243,waingapu,-9.6567,120.2641,76.28,74,71,3.98,ID,1723938544
244,kamiiso,41.8167,140.65,75.58,88,75,2.3,JP,1723938544
245,calama,-22.4667,-68.9333,64.89,8,0,20.71,CL,1723938311
246,mudanya,40.3753,28.8822,67.48,78,0,5.03,TR,1723938545
247,souillac,-20.5167,57.5167,68.38,94,75,11.5,MU,1723938546
248,dalandzadgad,43.5708,104.425,64.54,60,1,15.75,MN,1723938546
249,hatillo,18.4863,-66.8254,84.11,78,99,1.01,PR,1723938546
250,ibi,38.6253,-0.5723,68.92,86,63,4.32,ES,1723938546
251,baiao,-2.7906,-49.6717,78.93,53,85,2.86,BR,1723938547
252,gazli,40.1333,63.45,73.85,35,0,10.51,UZ,1723938547
253,zaozersk,69.4005,32.4476,47.68,90,50,1.19,RU,1723938547
254,island harbour,50.724,-1.2758,60.04,82,99,3.0,GB,1723938548
255,el tigre,8.8875,-64.2454,79.48,72,69,5.26,VE,1723938548
256,marsh harbour,26.5412,-77.0636,82.85,57,0,7.56,BS,1723938548
257,the pas,53.8251,-101.2541,73.42,43,0,6.91,CA,1723938549
258,ad dilam,23.9915,47.1627,93.36,14,100,3.69,SA,1723938549
259,kourou,5.1552,-52.6478,77.61,86,0,5.86,GF,1723938549
260,trairi,-3.2778,-39.2689,75.79,83,3,11.27,BR,1723938318
261,nichinan,31.6,131.3667,85.78,72,95,3.0,JP,1723938550
262,isangel,-19.55,169.2667,84.31,65,20,2.3,VU,1723938550
